id,rodovia,km_ini,km_fim,ra_geo_max,ra_hid_max,ra,dist_geo,dist_hid,regiao,uba,desc,source
SEG-0000,SP 055,259.5,268.045,,,,,,,,SEM_DADO,SEM_DADO
SEG-0001,SP 055,268.045,270.7,,,,,,,,SEM_DADO,SEM_DADO
SEG-0002,SP 055,270.7,274.3,,,,,,,,SEM_DADO,SEM_DADO
SEG-0003,SP 055,274.3,275.7,,,,,,,,SEM_DADO,SEM_DADO
SEG-0004,SP 055,248.1,259.5,,,,,,,,SEM_DADO,SEM_DADO
SEG-0005,SP 055,275.7,286.72,,,,,,,,SEM_DADO,SEM_DADO
SEG-0006,SP 098,82.4,98.1,4.0,3.0,4.0,"{""0"": 1, ""1"": 53, ""2"": 5, ""3"": 6, ""4"": 16}","{""0"": 60, ""1"": 59, ""2"": 5, ""3"": 2, ""4"": 0}",1.0,UBA 10.04-MCZ,Mogi-Bertioga: predominancia RAGEO1 (53/81),regea2021
SEG-0007,SP 098,75.0,82.4,4.0,3.0,4.0,"{""0"": 1, ""1"": 53, ""2"": 5, ""3"": 6, ""4"": 16}","{""0"": 60, ""1"": 59, ""2"": 5, ""3"": 2, ""4"": 0}",1.0,UBA 10.04-MCZ,Mogi-Bertioga: predominancia RAGEO1 (53/81),regea2021
SEG-0008,SP 098,53.0,56.65,,,,,,,,SEM_DADO,SEM_DADO
SEG-0009,SP 098,56.65,62.9,,,,,,,,SEM_DADO,SEM_DADO
SEG-0010,SP 098,62.9,75.0,,,,,,,,SEM_DADO,SEM_DADO
SEG-0011,SP 055,286.72,291.0,,,,,,,,SEM_DADO,SEM_DADO
SEG-0012,SP 055,291.0,292.2,,,,,,,,SEM_DADO,SEM_DADO
SEG-0013,SP 055,292.2,302.77,,,,,,,,SEM_DADO,SEM_DADO
SEG-0014,SP 055,315.07,323.69,,,,,,,,SEM_DADO,SEM_DADO
SEG-0015,SP 055,323.69,338.57,,,,,,,,SEM_DADO,SEM_DADO
SEG-0016,SP 055,302.77,304.16,,,,,,,,SEM_DADO,SEM_DADO
SEG-0017,SP 055,304.16,315.07,,,,,,,,SEM_DADO,SEM_DADO
SEG-0018,SP 055,338.57,344.0,,,,,,,,SEM_DADO,SEM_DADO
SEG-0019,SP 055,344.0,345.05,,,,,,,,SEM_DADO,SEM_DADO
SEG-0020,SP 055,345.05,351.58,,,,,,,,SEM_DADO,SEM_DADO
SEG-0021,SP 055,369.87,373.57,,,,,,,,SEM_DADO,SEM_DADO
SEG-0022,SP 055,373.57,380.05,,,,,,,,SEM_DADO,SEM_DADO
SEG-0023,SP 055,351.58,359.09,,,,,,,,SEM_DADO,SEM_DADO
SEG-0024,SP 055,359.09,366.14,,,,,,,,SEM_DADO,SEM_DADO
SEG-0025,SP 055,366.14,369.11,,,,,,,,SEM_DADO,SEM_DADO
SEG-0026,SP 055,369.11,369.87,,,,,,,,SEM_DADO,SEM_DADO
SEG-0027,SP 055,380.05,386.6,,,,,,,,SEM_DADO,SEM_DADO
SEG-0028,SP 055,386.6,389.8,,,,,,,,SEM_DADO,SEM_DADO
SEG-0029,SP 055,233.4,248.1,4.0,,4.0,"{""0"": 0, ""1"": 6, ""2"": 1, ""3"": 2, ""4"": 2}",,4.0,UBA 05.04-SVC,Santos-Bertioga (km 235-238): predominancia RAGEO1 (6/11),regea2021
SEG-0030,SP 055,191.4,211.4,,1.0,1.0,,"{""0"": 2, ""1"": 30, ""2"": 0, ""3"": 0, ""4"": 0}",3.0,UBA 05.04-SVC,Sao Sebastiao (hidro): predominancia RAHID1 (30/32),regea2021
SEG-0031,SP 055,211.4,214.65,,3.0,3.0,,"{""0"": 4, ""1"": 67, ""2"": 1, ""3"": 3, ""4"": 0}",4.0,UBA 05.04-SVC,Santos-Bertioga (hidro): predominancia RAHID1 (67/75),regea2021
SEG-0032,SP 055,214.65,220.45,,3.0,3.0,,"{""0"": 4, ""1"": 67, ""2"": 1, ""3"": 3, ""4"": 0}",4.0,UBA 05.04-SVC,Santos-Bertioga (hidro): predominancia RAHID1 (67/75),regea2021
SEG-0033,SP 055,220.45,233.4,,3.0,3.0,,"{""0"": 4, ""1"": 67, ""2"": 1, ""3"": 3, ""4"": 0}",4.0,UBA 05.04-SVC,Santos-Bertioga (hidro): predominancia RAHID1 (67/75),regea2021
