Rodovia,TipoRodovi,Orientacao,Origem,Municipio,CodRegiona,SedeRegion,KmInicial,KmFinal,Extensao,DescricaoI,DescricaoF,Jurisdicao,Administra,Conservado,TipoPista,Sobreposic,Subposicao,PerimetroU,DataInicio,DataFimCon,EstadualCo,Denominaca,Legislacao,TPUso,TransfMuni,Subtrecho
SP 131,Eixo,Transversal,Estadual,Ilhabela,DR 06,Taubaté,0.0,4.8,4.8,Ilhabela - entroncamento SPA 000/131 (km 0),Perequê (Ferry Boat) - entroncamento SPA 004/131,Estadual,DER,05.04,PAV,,,Nã,,,Nã,s/d,,,,131SPE0869
SP 131,Eixo,Transversal,Estadual,Ilhabela,DR 06,Taubaté,4.8,5.57,0.77,Perequê (Ferry Boat) - entroncamento SPA 004/131,Final trecho CGR. 06,Estadual,DER,05.04,PAV,,,Nã,,,Nã,s/d,,,,131SPE2216
SP 131,Eixo,Transversal,Estadual,Ilhabela,DR 06,Taubaté,5.57,16.59,11.02,Final trecho CGR. 06,Ponta da Cela,Estadual,DER,05.04,PAV,,,Nã,,,Nã,s/d,,,,131SPE1308
SP 131,Eixo,Transversal,Estadual,Ilhabela,DR 06,Taubaté,16.59,24.519,7.929,Ponta da Cela,Borrifos,Estadual,DER,05.04,PAV,,,Nã,,,Nã,s/d,,,,131SPE4991
SP 099,Eixo,Transversal,Estadual,Caraguatatuba,DR 06,Taubaté,64.25,64.9,0.65,Divisa Municipal Paraibuna / Caraguatatuba,Entroncamento SPI 095/099 - Inicio trecho sentido unico,Estadual,Concessionária,Tamoios,DUP,,,Nã,18 04 2015,18 04 2045,Nã,Estrada dos Tamoios,Lei 1.796 de 18/10/78,,,099SPE1962
SP 099,Eixo,Transversal,Estadual,Caraguatatuba,DR 06,Taubaté,64.9,81.1,16.2,Entroncamento SPI 095/099 - Inicio trecho sentido unico,Final do trecho sentido unico,Estadual,Concessionária,Tamoios,DUP,,,Nã,18 04 2015,18 04 2045,Nã,Estrada dos Tamoios,Lei 1.796 de 18/10/78,,,099SPE5155
SP 099,Eixo,Transversal,Estadual,Caraguatatuba,DR 06,Taubaté,81.1,83.4,2.3,Final do trecho sentido unico,Entroncamento SP 055 (km 102),Estadual,Concessionária,Tamoios,PAV,,,Nã,18 04 2015,18 04 2045,Nã,Estrada dos Tamoios,Lei 1.796 de 18/10/78,,,099SPE2410
BR 101,Eixo,Sem Informação,Federal,Ubatuba,DR 06,Taubaté,0.0,48.6,48.6,Divisa de Parati (RJ) com Ubatuba (SP),Entroncamento SP 125 - BR 383 (Planejada),Federal,DNIT,DNIT,PAV,,,Nã,,,Nã,,,,,101BSP6778
BR 101,Eixo,Sem Informação,Federal,Ubatuba,DR 06,Taubaté,48.6,53.6,5.0,Entroncamento SP 125 - BR 383 (Planejada),Praia Grande - Ubatuba - entroncamento SP 055,Federal,DNIT,DNIT,PAV,,,Nã,,,Nã,,,,,101BSP9413
SP 125,Eixo,Transversal,Estadual,Ubatuba,DR 06,Taubaté,78.95,94.5,15.55,Divisa Municipal São Luíz do Paraitinga / Ubatuba,Entroncamento BR 101 (km 48),Estadual,DER,06.02,PAV,,,Nã,,,Sim,Oswaldo Cruz,Lei 972 de 19/04/76,,,125SPE1663
SP 150,Eixo,Radial,Estadual,São Paulo,DR 10,São Paulo,9.7,13.18,3.48,São Paulo Perímetro Urbano (B),Divisa Municipal São Paulo / São Bernardo do Campo,Estadual,Concessionária,Ecovias,DUP,,,Nã,29 05 1998,29 03 2034,Sim,"Anchieta, Via","Men. Dec. 10.418 , 11/08/39",,,150SPE6390
SP 055,Eixo,Transversal,Estadual,Cubatão,DR 05,Cubatão,259.5,268.045,8.545,Divisa Municipal Santos / Cubatão,Entroncamento SP 148 (km 48),Estadual,Concessionária,Ecovias,DUP,,,Nã,29 05 1998,29 03 2034,Sim,Cônego Domênico Rangoni,Lei 7.855 de 18/05/92,,,055SPE8785
SP 055,Eixo,Transversal,Estadual,Cubatão,DR 05,Cubatão,268.045,270.7,2.655,Entroncamento SP 148 (km 48),Entroncamento SP 150 (km 55),Estadual,Concessionária,Ecovias,DUP,,,Nã,29 05 1998,29 03 2034,Sim,Cônego Domênico Rangoni,Lei 7.855 de 18/05/92,,,055SPE8333
SP 055,Eixo,Transversal,Estadual,Cubatão,DR 05,Cubatão,270.7,274.3,3.6,Entroncamento SP 150 (km 55),Entroncamento SP 160 (km 58),Estadual,Concessionária,Ecovias,DUP,,,Nã,29 05 1998,29 03 2034,Sim,Cônego Domênico Rangoni,Lei 7.855 de 18/05/92,,,055SPE7663
SP 055,Eixo,Transversal,Estadual,Cubatão,DR 05,Cubatão,274.3,275.7,1.4,Entroncamento SP 160 (km 58),Divisa Municipal Cubatão / São Vicente,Estadual,Concessionária,Ecovias,DUP,,,Nã,29 05 1998,29 03 2034,Sim,"Padre Manoel da Nobrega, Via",Dec. 52.258 de 05/08/69,,,055SPE9211
SP 150,Eixo,Radial,Estadual,Cubatão,DR 05,Cubatão,42.87,54.77,11.9,Divisa Municipal São Bernardo do Campo / Cubatão,Entroncamento SP 055 (km 270),Estadual,Concessionária,Ecovias,DUP,,,Nã,29 05 1998,29 03 2034,Sim,"Anchieta, Via","Men. Dec. 10.418 , 11/08/39",,,150SPE3764
